U(k),U(k-1),U(k-2),U(k-3),Y(k),Y(k-1),Y(k-2),Y(k-3)
0.939562112,0.734544537,0.909291518,-0.37433472,0.727600159,0.402380977,-0.37532123,0.776215093
-0.35826699,0.939562112,0.734544537,0.909291518,0.20740226,0.727600159,0.402380977,-0.37532123
0.170499968,-0.35826699,0.939562112,0.734544537,0.978329479,0.20740226,0.727600159,0.402380977
0.555950035,0.170499968,-0.35826699,0.939562112,0.593314493,0.978329479,0.20740226,0.727600159
0.63689688,0.555950035,0.170499968,-0.35826699,0.620061694,0.593314493,0.978329479,0.20740226
-0.444610458,0.63689688,0.555950035,0.170499968,0.315038765,0.620061694,0.593314493,0.978329479
0.413897573,-0.444610458,0.63689688,0.555950035,0.997291387,0.315038765,0.620061694,0.593314493
0.095697284,0.413897573,-0.444610458,0.63689688,0.400433121,0.997291387,0.315038765,0.620061694
-0.617761719,0.095697284,0.413897573,-0.444610458,0.530915188,0.400433121,0.997291387,0.315038765
-0.575571636,-0.617761719,0.095697284,0.413897573,0.694639656,0.530915188,0.400433121,0.997291387
-0.619699611,-0.575571636,-0.617761719,0.095697284,0.607842539,0.694639656,0.530915188,0.400433121
-0.159696106,-0.619699611,-0.575571636,-0.617761719,0.767937308,0.607842539,0.694639656,0.530915188
-0.176453704,-0.159696106,-0.619699611,-0.575571636,0.569426322,0.767937308,0.607842539,0.694639656
-0.371211007,-0.176453704,-0.159696106,-0.619699611,0.597308859,0.569426322,0.767937308,0.607842539
-0.156100429,-0.371211007,-0.176453704,-0.159696106,0.698391193,0.597308859,0.569426322,0.767937308
0.541155799,-0.156100429,-0.371211007,-0.176453704,0.77091158,0.698391193,0.597308859,0.569426322
0.656421764,0.541155799,-0.156100429,-0.371211007,0.566439632,0.77091158,0.698391193,0.597308859
-0.24782653,0.656421764,0.541155799,-0.156100429,0.379507223,0.566439632,0.77091158,0.698391193
-0.723031259,-0.24782653,0.656421764,0.541155799,0.618486675,0.379507223,0.566439632,0.77091158
-0.950914322,-0.723031259,-0.24782653,0.656421764,0.597041923,0.618486675,0.379507223,0.566439632
0.541186696,-0.950914322,-0.723031259,-0.24782653,1.04672861,0.597041923,0.618486675,0.379507223
-0.186915931,0.541186696,-0.950914322,-0.723031259,0.27949957,1.04672861,0.597041923,0.618486675
-0.152255099,-0.186915931,0.541186696,-0.950914322,0.799566562,0.27949957,1.04672861,0.597041923
-0.301965341,-0.152255099,-0.186915931,0.541186696,0.525874559,0.799566562,0.27949957,1.04672861
0.786780868,-0.301965341,-0.152255099,-0.186915931,0.942646686,0.525874559,0.799566562,0.27949957
0.09094778,0.786780868,-0.301965341,-0.152255099,0.301464328,0.942646686,0.525874559,0.799566562
-0.13024116,0.09094778,0.786780868,-0.301965341,0.708520654,0.301464328,0.942646686,0.525874559
-0.203894594,-0.13024116,0.09094778,0.786780868,0.573400374,0.708520654,0.301464328,0.942646686
-0.212111562,-0.203894594,-0.13024116,0.09094778,0.643706626,0.573400374,0.708520654,0.301464328
0.600861048,-0.212111562,-0.203894594,-0.13024116,0.822229803,0.643706626,0.573400374,0.708520654
-0.898680095,0.600861048,-0.212111562,-0.203894594,0.143849867,0.822229803,0.643706626,0.573400374
-0.729987642,-0.898680095,0.600861048,-0.212111562,0.961347723,0.143849867,0.822229803,0.643706626
-0.381260762,-0.729987642,-0.898680095,0.600861048,0.633534601,0.961347723,0.143849867,0.822229803
0.134835105,-0.381260762,-0.729987642,-0.898680095,0.760256468,0.633534601,0.961347723,0.143849867
-0.269044502,0.134835105,-0.381260762,-0.729987642,0.460387378,0.760256468,0.633534601,0.961347723
-0.539833891,-0.269044502,0.134835105,-0.381260762,0.630504702,0.460387378,0.760256468,0.633534601
0.413907751,-0.539833891,-0.269044502,0.134835105,0.878734137,0.630504702,0.460387378,0.760256468
-0.520855902,0.413907751,-0.539833891,-0.269044502,0.277886989,0.878734137,0.630504702,0.460387378
0.57380266,-0.520855902,0.413907751,-0.539833891,1.082249248,0.277886989,0.878734137,0.630504702
0.27908068,0.57380266,-0.520855902,0.413907751,0.377879275,1.082249248,0.277886989,0.878734137
0.388803343,0.27908068,0.57380266,-0.520855902,0.739229619,0.377879275,1.082249248,0.277886989
0.225663398,0.388803343,0.27908068,0.57380266,0.514742056,0.739229619,0.377879275,1.082249248
-0.693218167,0.225663398,0.388803343,0.27908068,0.419174848,0.514742056,0.739229619,0.377879275
-0.469475211,-0.693218167,0.225663398,0.388803343,0.795231458,0.419174848,0.514742056,0.739229619
-0.206674678,-0.469475211,-0.693218167,0.225663398,0.646205131,0.795231458,0.419174848,0.514742056
0.551763371,-0.206674678,-0.469475211,-0.693218167,0.807400957,0.646205131,0.795231458,0.419174848
-0.981208041,0.551763371,-0.206674678,-0.469475211,0.142449642,0.807400957,0.646205131,0.795231458
-0.077087618,-0.981208041,0.551763371,-0.206674678,1.150402612,0.142449642,0.807400957,0.646205131
0.08374728,-0.077087618,-0.981208041,0.551763371,0.509092302,1.150402612,0.142449642,0.807400957
0.17770098,0.08374728,-0.077087618,-0.981208041,0.681951052,0.509092302,1.150402612,0.142449642
-0.028022405,0.17770098,0.08374728,-0.077087618,0.534231728,0.681951052,0.509092302,1.150402612
-0.444317379,-0.028022405,0.17770098,0.08374728,0.549119399,0.534231728,0.681951052,0.509092302
-0.188470516,-0.444317379,-0.028022405,0.17770098,0.731705618,0.549119399,0.534231728,0.681951052
0.724811503,-0.188470516,-0.444317379,-0.028022405,0.815209386,0.731705618,0.549119399,0.534231728
-0.095864464,0.724811503,-0.188470516,-0.444317379,0.309491066,0.815209386,0.731705618,0.549119399
0.498448158,-0.095864464,0.724811503,-0.188470516,0.917026837,0.309491066,0.815209386,0.731705618
0.198905692,0.498448158,-0.095864464,0.724811503,0.421833082,0.917026837,0.309491066,0.815209386
-0.344229251,0.198905692,0.498448158,-0.095864464,0.557588417,0.421833082,0.917026837,0.309491066
-0.239610594,-0.344229251,0.198905692,0.498448158,0.685384255,0.557588417,0.421833082,0.917026837
0.972970927,-0.239610594,-0.344229251,0.198905692,0.908462413,0.685384255,0.557588417,0.421833082
0.588691535,0.972970927,-0.239610594,-0.344229251,0.379263631,0.908462413,0.685384255,0.557588417
-0.140014541,0.588691535,0.972970927,-0.239610594,0.513413459,0.379263631,0.908462413,0.685384255
0.687986567,-0.140014541,0.588691535,0.972970927,0.874758971,0.513413459,0.379263631,0.908462413
-0.325064352,0.687986567,-0.140014541,0.588691535,0.245739843,0.874758971,0.513413459,0.379263631
