"6,0000	-1,539840237"
"6,0001	-1,529290984"
"6,0002	-1,505601158"
"6,0003	-1,513810098"
"6,0004	-1,498469632"
"6,0005	-1,514999307"
"6,0006	-1,509827004"
"6,0007	-1,487457009"
"6,0008	-1,511076954"
"6,0009	-1,538610350"
"6,0010	-1,501538832"
"6,0011	-1,476625638"
"6,0012	-1,499745401"
"6,0013	-1,524201067"
"6,0014	-1,492082070"
"6,0015	-1,499901249"
"6,0016	-1,517640823"
"6,0017	-1,519177909"
"6,0018	-1,522123557"
"6,0019	-1,514151231"
"6,0020	-1,515484195"
"6,0021	-1,481568054"
"6,0022	-1,493302981"
"6,0023	-1,526725023"
"6,0024	-1,476434591"
"6,0025	-1,521240275"
"6,0026	-1,484871662"
"6,0027	-1,503947512"
"6,0028	-1,505535796"
"6,0029	-1,441620918"
"6,0030	-1,517408557"
"6,0031	-1,466342086"
"6,0032	-1,482616300"
"6,0033	-1,501950221"
"6,0034	-1,461352298"
"6,0035	-1,561557791"
"6,0036	-1,494168228"
"6,0037	-1,523124671"
"6,0038	-1,497316999"
"6,0039	-1,492361905"
"6,0040	-1,508253066"
"6,0041	-1,505012152"
"6,0042	-1,500520247"
"6,0043	-1,500935527"
"6,0044	-1,507422312"
"6,0045	-1,504792276"
"6,0046	-1,461958296"
"6,0047	-1,577256812"
"6,0048	-1,512903344"
"6,0049	-1,490038388"
"6,0050	-1,526150957"
"6,0051	-1,502000992"
"6,0052	-1,511410127"
"6,0053	-1,507338862"
"6,0054	-1,525367165"
"6,0055	-1,512699106"
"6,0056	-1,496073613"
"6,0057	-1,485256937"
"6,0058	-1,502404492"
"6,0059	-1,464314627"
"6,0060	-1,520366635"
"6,0061	-1,483093137"
"6,0062	-1,524194382"
"6,0063	-1,490367580"
"6,0064	-1,466440059"
"6,0065	-1,503701909"
"6,0066	-1,509815460"
"6,0067	-1,506271859"
"6,0068	-1,511774966"
"6,0069	-1,556386043"
"6,0070	-1,495691280"
"6,0071	-1,500066775"
"6,0072	-1,518511310"
"6,0073	-1,523241417"
"6,0074	-1,477953243"
"6,0075	-1,534704166"
"6,0076	-1,506931822"
"6,0077	-1,536788973"
"6,0078	-1,494223514"
"6,0079	-1,474544051"
"6,0080	-1,477284943"
"6,0081	-1,471082385"
"6,0082	-1,495952911"
"6,0083	-1,447379925"
"6,0084	-1,510255003"
"6,0085	-1,503572164"
"6,0086	-1,528750536"
"6,0087	-1,507855028"
"6,0088	-1,504792954"
"6,0089	-1,504572187"
"6,0090	-1,504771888"
"6,0091	-1,543543225"
"6,0092	-1,502630220"
"6,0093	-1,476126862"
"6,0094	-1,493582721"
"6,0095	-1,496753273"
"6,0096	-1,510920210"
"6,0097	-1,492310822"
"6,0098	-1,477663588"
"6,0099	-1,505529920"
"6,0100	-1,490907494"
"6,0101	-1,559051132"
"6,0102	-1,488481824"
"6,0103	-1,498217848"
"6,0104	-1,443123242"
"6,0105	-1,547387214"
"6,0106	-1,512607055"
"6,0107	-1,498937414"
"6,0108	-1,530906637"
"6,0109	-1,516220955"
"6,0110	-1,513016868"
"6,0111	-1,524606773"
"6,0112	-1,510480043"
"6,0113	-1,496221234"
"6,0114	-1,530922772"
"6,0115	-1,526801153"
"6,0116	-1,547297495"
"6,0117	-1,544383924"
"6,0118	-1,503789615"
"6,0119	-1,504234804"
"6,0120	-1,523742424"
"6,0121	-1,515786376"
"6,0122	-1,522117060"
"6,0123	-1,543814443"
"6,0124	-1,529192248"
"6,0125	-1,570141152"
"6,0126	-1,534504325"
"6,0127	-1,544573885"
"6,0128	-1,545457970"
"6,0129	-1,556287326"
"6,0130	-1,501195605"
"6,0131	-1,511314396"
"6,0132	-1,521791800"
"6,0133	-1,514730439"
"6,0134	-1,520618133"
"6,0135	-1,515915445"
"6,0136	-1,511647653"
"6,0137	-1,471415988"
"6,0138	-1,497617326"
"6,0139	-1,511989508"
"6,0140	-1,539271749"
"6,0141	-1,524706107"
"6,0142	-1,544501878"
"6,0143	-1,547398561"
"6,0144	-1,547355972"
"6,0145	-1,565638419"
"6,0146	-1,512971457"
"6,0147	-1,506792113"
"6,0148	-1,532821447"
"6,0149	-1,507906614"
"6,0150	-1,514238462"
"6,0151	-1,491677259"
"6,0152	-1,519696833"
"6,0153	-1,511033269"
"6,0154	-1,502173930"
"6,0155	-1,558037936"
"6,0156	-1,516502024"
"6,0157	-1,528476744"
"6,0158	-1,545643802"
"6,0159	-1,566693665"
"6,0160	-1,494588227"
"6,0161	-1,489385149"
"6,0162	-1,540328497"
"6,0163	-1,504017296"
"6,0164	-1,556029811"
"6,0165	-1,494120084"
"6,0166	-1,500781384"
"6,0167	-1,540179479"
"6,0168	-1,534799651"
"6,0169	-1,564940719"
"6,0170	-1,522249084"
"6,0171	-1,524928159"
"6,0172	-1,561815801"
"6,0173	-1,549217336"
"6,0174	-1,481196975"
"6,0175	-1,516779789"
"6,0176	-1,510210890"
"6,0177	-1,535442019"
"6,0178	-1,537744921"
"6,0179	-1,561228347"
"6,0180	-1,540679925"
"6,0181	-1,561905126"
"6,0182	-1,517892602"
"6,0183	-1,525933501"
"6,0184	-1,542912042"
"6,0185	-1,506943222"
"6,0186	-1,488827562"
"6,0187	-1,556578011"
"6,0188	-1,515956675"
"6,0189	-1,514009119"
