"#Parameters = {h=1.6; lo1=5.55; lo2=4.4; lp=6.7; t=0.035; wg=25; wo1=0.6; wo2=2.96; wp=7.6; yg=25}";
"#""Frequency / GHz""";S1,1 [Magnitude]
#------------------------------------;
60.000.000.000.000;-0.65295653844362
60.068.001.747.131;-0.64960289909617
60.135.998.725.891;-0.64633584600790
60.204.000.473.022;-0.64316548304256
60.272.002.220.154;-0.64009922551297
60.339.999.198.914;-0.63714586881639
60.408.000.946.045;-0.63431342547963
60.475.997.924.805;-0.63160962503389
60.543.999.671.936;-0.62904036668710
60.612.001.419.067;-0.62661205973969
60.679.998.397.827;-0.62433130765185
60.748.000.144.958;-0.62220317389002
60.816.001.892.090;-0.62023359993169
60.883.998.870.850;-0.61842535190700
60.952.000.617.981;-0.61678317732378
61.020.002.365.112;-0.61531168192357
61.087.999.343.872;-0.61401238078414
61.156.001.091.003;-0.61288894496252
61.223.998.069.763;-0.61194335300081
61.291.999.816.895;-0.61117712436643
61.360.001.564.026;-0.61059023128656
61.427.998.542.786;-0.61018423929188
61.496.000.289.917;-0.60995988855154
61.564.002.037.048;-0.60991683333049
61.631.999.015.808;-0.61005244885522
61.700.000.762.939;-0.61036766128483
61.767.997.741.699;-0.61085971520762
61.835.999.488.831;-0.61152673314066
61.904.001.235.962;-0.61236695433558
61.971.998.214.722;-0.61337587223768
62.039.999.961.853;-0.61455210914909
62.108.001.708.984;-0.61589069776785
62.175.998.687.744;-0.61738715869711
62.244.000.434.875;-0.61903932479545
62.312.002.182.007;-0.62083980332849
62.379.999.160.767;-0.62278533057191
62.448.000.907.898;-0.62486956078285
62.515.997.886.658;-0.62708684877547
62.583.999.633.789;-0.62943216892024
62.652.001.380.920;-0.63189853141447
62.719.998.359.680;-0.63447902787707
62.788.000.106.812;-0.63716858898728
62.856.001.853.943;-0.63995976098784
62.923.998.832.703;-0.64284512677808
62.992.000.579.834;-0.64581806915024
63.060.002.326.965;-0.64886992934292
63.127.999.305.725;-0.65199554578141
63.196.001.052.856;-0.65518544494463
63.263.998.031.616;-0.65843330245655
63.331.999.778.748;-0.66173096188943
63.400.001.525.879;-0.66506996365896
63.467.998.504.639;-0.66844501076291
63.536.000.251.770;-0.67184608209577
63.604.001.998.901;-0.67526680981878
63.671.998.977.661;-0.67869862153000
63.740.000.724.792;-0.68213475090806
63.807.997.703.552;-0.68556834886343
63.875.999.450.684;-0.68899135430037
63.944.001.197.815;-0.69239607087185
64.011.998.176.575;-0.69577546501198
64.079.999.923.706;-0.69912457691155
64.148.001.670.837;-0.70243377633706
64.215.998.649.597;-0.70570048564589
64.284.000.396.729;-0.70891520784614
64.352.002.143.860;-0.71207267413381
64.419.999.122.620;-0.71516825325673
64.488.000.869.751;-0.71819514156638
64.555.997.848.511;-0.72114830591749
64.623.999.595.642;-0.72402264292143
64.692.001.342.773;-0.72681504074226
64.759.998.321.533;-0.72951991553301
64.828.000.068.665;-0.73213485103961
64.896.001.815.796;-0.73465395361529
64.963.998.794.556;-0.73707427844400
65.032.000.541.687;-0.73939433501799
65.100.002.288.818;-0.74160979431674
65.167.999.267.578;-0.74372046828101
65.236.001.014.709;-0.74572092449409
65.303.997.993.469;-0.74761515298185
65.371.999.740.601;-0.74939697368458
65.440.001.487.732;-0.75106812020817
65.507.998.466.492;-0.75262737898738
65.576.000.213.623;-0.75407365518336
65.644.001.960.754;-0.75541009891809
65.711.998.939.514;-0.75663571437068
65.780.000.686.646;-0.75775135886719
65.847.997.665.405;-0.75875782177992
65.915.999.412.537;-0.75965924067617
65.984.001.159.668;-0.76045358337816
66.051.998.138.428;-0.76114652260843
66.119.999.885.559;-0.76174055119556
66.188.001.632.690;-0.76223778142756
66.255.998.611.450;-0.76264031868876
66.324.000.358.582;-0.76295216322638
66.392.002.105.713;-0.76317835390744
66.459.999.084.473;-0.76332348389780
66.528.000.831.604;-0.76338875865495
66.595.997.810.364;-0.76338200178167
66.663.999.557.495;-0.76330465175528
66.732.001.304.626;-0.76316478200939
66.799.998.283.386;-0.76296416857280
66.868.000.030.518;-0.76271229574098
66.936.001.777.649;-0.76241046585446
67.003.998.756.409;-0.76206460573074
67.072.000.503.540;-0.76168259851178
67.140.002.250.671;-0.76126990581629
67.207.999.229.431;-0.76082994282612
67.276.000.976.562;-0.76036957268204
67.343.997.955.322;-0.75989561493805
67.411.999.702.454;-0.75941371602020
67.480.001.449.585;-0.75892739475607
67.547.998.428.345;-0.75844668109361
67.616.000.175.476;-0.75797305260721
67.684.001.922.607;-0.75751664775786
67.751.998.901.367;-0.75707882586349
67.820.000.648.499;-0.75666897170104
67.887.997.627.258;-0.75628957948641
67.955.999.374.390;-0.75595010688271
68.024.001.121.521;-0.75565274150452
68.091.998.100.281;-0.75540328298810
68.159.999.847.412;-0.75520773916365
68.228.001.594.543;-0.75507031189337
68.295.998.573.303;-0.75499599706521
68.364.000.320.435;-0.75498925139541
68.432.002.067.566;-0.75505526793003
68.499.999.046.326;-0.75519941894256
68.568.000.793.457;-0.75542271709925
68.635.997.772.217;-0.75573259239018
68.703.999.519.348;-0.75612975571468
68.772.001.266.479;-0.75661971512816
68.839.998.245.239;-0.75720444579045
68.907.999.992.371;-0.75788732978589
68.976.001.739.502;-0.75867034063125
69.043.998.718.262;-0.75955786066501
69.112.000.465.393;-0.76055229854304
69.180.002.212.524;-0.76165322197751
69.247.999.191.284;-0.76286396698241
69.316.000.938.416;-0.76418520025244
69.383.997.917.175;-0.76561952403932
69.451.999.664.307;-0.76716812602610
69.520.001.411.438;-0.76882978072424
69.587.998.390.198;-0.77060682692993
69.656.000.137.329;-0.77249834867752
69.724.001.884.460;-0.77450344886792
69.791.998.863.220;-0.77662415403123
69.860.000.610.352;-0.77885945606989
69.928.002.357.483;-0.78120741363956
69.995.999.336.243;-0.78366870105525
70.064.001.083.374;-0.78624060344514
70.131.998.062.134;-0.78892069527591
70.199.999.809.265;-0.79171128149140
70.268.001.556.396;-0.79460608785820
70.335.998.535.156;-0.79760570629793
70.404.000.282.288;-0.80070608198383
70.472.002.029.419;-0.80390660478032
70.539.999.008.179;-0.80720370025998
70.608.000.755.310;-0.81059445260622
70.675.997.734.070;-0.81407535196120
70.743.999.481.201;-0.81764353791223
70.812.001.228.333;-0.82129590140770
70.879.998.207.092;-0.82502918863177
70.947.999.954.224;-0.82883851208263
71.016.001.701.355;-0.83272112983956
71.083.998.680.115;-0.83667477214979
71.152.000.427.246;-0.84069315839620
71.220.002.174.377;-0.84477182474521
71.287.999.153.137;-0.84890868479547
71.356.000.900.269;-0.85309868134686
71.423.997.879.028;-0.85733751432477
71.491.999.626.160;-0.86162087043000
71.560.001.373.291;-0.86594528582143
71.627.998.352.051;-0.87030625710947
71.696.000.099.182;-0.87469845057474
71.764.001.846.313;-0.87911836694781
71.831.998.825.073;-0.88356291349751
71.900.000.572.205;-0.88802584514566
71.968.002.319.336;-0.89250523371679
72.035.999.298.096;-0.89699487860944
72.104.001.045.227;-0.90149160947944
72.171.998.023.987;-0.90599257698851
72.239.999.771.118;-0.91049231616643
72.308.001.518.250;-0.91498804361761
72.375.998.497.009;-0.91947692302472
72.444.000.244.141;-0.92395440367263
72.512.001.991.272;-0.92841633841116
72.579.998.970.032;-0.93286227534742
72.648.000.717.163;-0.93728605316552
72.715.997.695.923;-0.94168774288819
72.783.999.443.054;-0.94606321534177
72.852.001.190.186;-0.95041053733067
72.919.998.168.945;-0.95472738293642
72.987.999.916.077;-0.95901040471803
73.056.001.663.208;-0.96326007636255
73.123.998.641.968;-0.96747265596818
73.192.000.389.099;-0.97164884693534
73.260.002.136.230;-0.97578601013943
73.327.999.114.990;-0.97988346954243
73.396.000.862.122;-0.98394025612538
73.463.997.840.881;-0.98795706264898
73.531.999.588.013;-0.99193167657037
73.600.001.335.144;-0.99586566040100
73.667.998.313.904;-0.99975922784467
73.736.000.061.035;-10.036.131.027.864
73.804.001.808.167;-10.074.253.139.724
73.871.998.786.926;-10.111.997.584.924
73.940.000.534.058;-10.149.376.591.386
74.008.002.281.189;-10.186.382.518.392
74.075.999.259.949;-10.223.045.187.113
74.144.001.007.080;-10.259.384.737.517
74.211.997.985.840;-10.295.427.949.673
74.279.999.732.971;-10.331.169.715.505
74.348.001.480.103;-10.366.667.591.928
74.415.998.458.862;-10.401.937.002.512
74.484.000.205.994;-10.437.009.397.747
74.552.001.953.125;-10.471.910.612.328
74.619.998.931.885;-10.506.668.613.068
74.688.000.679.016;-10.541.333.601.708
74.755.997.657.776;-10.575.941.997.778
74.823.999.404.907;-10.610.518.381.557
74.892.001.152.039;-10.645.104.521.241
74.959.998.130.798;-10.679.749.602.600
75.027.999.877.930;-10.714.498.416.362
75.096.001.625.061;-10.749.385.851.154
75.163.998.603.821;-10.784.445.352.889
75.232.000.350.952;-10.819.751.046.158
75.300.002.098.083;-10.855.335.090.515
75.367.999.076.843;-10.891.253.093.247
75.436.000.823.975;-10.927.530.582.767
75.503.997.802.734;-10.964.245.815.376
75.571.999.549.866;-11.001.429.414.603
75.640.001.296.997;-11.039.142.251.302
75.707.998.275.757;-11.077.421.142.855
75.776.000.022.888;-11.116.337.196.510
75.844.001.770.020;-11.155.909.742.157
75.911.998.748.779;-11.196.223.199.624
75.980.000.495.911;-11.237.303.492.244
76.048.002.243.042;-11.279.221.476.549
76.115.999.221.802;-11.321.994.271.016
76.184.000.968.933;-11.365.712.300.541
76.251.997.947.693;-11.410.391.084.653
76.319.999.694.824;-11.456.098.003.695
76.388.001.441.956;-11.502.872.667.598
76.455.998.420.715;-11.550.758.383.653
76.524.000.167.847;-11.599.804.506.772
76.592.001.914.978;-11.650.071.245.814
76.659.998.893.738;-11.701.568.368.231
76.728.000.640.869;-11.754.375.553.771
76.795.997.619.629;-11.808.513.332.486
76.863.999.366.760;-11.864.007.240.885
76.932.001.113.892;-11.920.936.574.312
76.999.998.092.651;-11.979.313.548.046
77.067.999.839.783;-12.039.166.901.781
77.136.001.586.914;-12.100.546.815.294
77.203.998.565.674;-12.163.476.128.378
77.272.000.312.805;-12.227.997.959.410
77.340.002.059.937;-12.294.125.925.485
77.407.999.038.696;-12.361.907.308.822
77.476.000.785.828;-12.431.350.903.755
77.543.997.764.587;-12.502.507.954.154
77.611.999.511.719;-12.575.368.303.258
77.680.001.258.850;-12.649.969.294.049
77.747.998.237.610;-12.726.345.758.453
77.815.999.984.741;-12.804.483.329.204
77.884.001.731.873;-12.884.422.133.151
77.951.998.710.632;-12.966.178.788.849
78.020.000.457.764;-13.049.747.190.740
78.088.002.204.895;-13.135.153.738.746
78.155.999.183.655;-13.222.406.525.672
78.224.000.930.786;-13.311.515.796.359
78.291.997.909.546;-13.402.481.459.152
78.359.999.656.677;-13.495.310.869.841
78.428.001.403.809;-13.590.005.561.704
78.495.998.382.568;-13.686.586.250.482
78.564.000.129.700;-13.785.016.653.249
78.632.001.876.831;-13.885.332.806.552
78.699.998.855.591;-13.987.510.025.317
78.768.000.602.722;-14.091.567.121.634
78.836.002.349.854;-14.197.474.516.756
78.903.999.328.613;-14.305.238.129.361
78.972.001.075.745;-14.414.863.003.491
79.039.998.054.504;-14.526.318.064.079
79.107.999.801.636;-14.639.621.899.175
79.176.001.548.767;-14.754.744.863.658
79.243.998.527.527;-14.871.692.718.018
79.312.000.274.658;-14.990.460.143.384
79.380.002.021.790;-15.111.003.856.725
79.447.999.000.549;-15.233.351.469.387
79.516.000.747.681;-15.357.477.227.335
79.583.997.726.440;-15.483.360.429.277
79.651.999.473.572;-15.611.017.592.784
79.720.001.220.703;-15.740.413.427.354
79.787.998.199.463;-15.871.532.137.136
79.855.999.946.594;-16.004.396.820.891
79.924.001.693.726;-16.138.964.348.999
79.991.998.672.485;-16.275.253.094.305
80.059.995.651.245;-16.413.234.224.859
80.128.002.166.748;-16.552.918.366.966
80.195.999.145.508;-16.694.290.675.461
80.263.996.124.268;-16.837.332.772.697
80.332.002.639.771;-16.982.054.600.538
80.399.999.618.530;-17.128.464.612.436
80.467.996.597.290;-17.276.551.623.060
80.536.003.112.793;-17.426.311.672.988
80.604.000.091.553;-17.577.739.173.587
80.671.997.070.312;-17.730.864.483.169
80.740.003.585.815;-17.885.677.847.095
80.808.000.564.575;-18.042.181.270.035
80.875.997.543.335;-18.200.401.184.370
80.944.004.058.838;-18.360.353.938.615
81.012.001.037.598;-18.522.021.502.690
81.079.998.016.357;-18.685.460.711.419
81.148.004.531.860;-18.850.676.292.417
81.216.001.510.620;-19.017.698.995.584
81.283.998.489.380;-19.186.557.497.736
81.351.995.468.140;-19.357.256.875.333
81.420.001.983.643;-19.529.868.736.388
81.487.998.962.402;-19.704.393.662.545
81.555.995.941.162;-19.880.895.182.555
81.624.002.456.665;-20.059.384.018.830
81.691.999.435.425;-20.239.958.177.105
81.759.996.414.185;-20.422.626.004.004
81.828.002.929.688;-20.607.437.412.067
81.895.999.908.447;-20.794.483.744.907
81.963.996.887.207;-20.983.806.891.076
82.032.003.402.710;-21.175.469.405.267
82.100.000.381.470;-21.369.536.904.790
82.167.997.360.229;-21.566.107.571.483
82.236.003.875.732;-21.765.224.168.939
82.304.000.854.492;-21.966.973.984.893
82.371.997.833.252;-22.171.439.287.164
82.440.004.348.755;-22.378.739.468.411
82.508.001.327.515;-22.588.922.040.606
82.575.998.306.274;-22.802.107.805.399
82.643.995.285.034;-23.018.406.649.780
82.712.001.800.537;-23.237.907.082.681
82.779.998.779.297;-23.460.712.536.976
82.847.995.758.057;-23.686.949.758.183
82.916.002.273.560;-23.916.719.545.537
82.983.999.252.319;-24.150.160.668.164
83.051.996.231.079;-24.387.390.927.842
83.120.002.746.582;-24.628.525.635.556
83.187.999.725.342;-24.873.715.022.920
83.255.996.704.102;-25.123.096.489.112
83.324.003.219.604;-25.376.805.525.715
83.392.000.198.364;-25.634.992.962.156
83.459.997.177.124;-25.897.781.157.839
83.528.003.692.627;-26.165.351.962.404
83.596.000.671.387;-26.437.869.042.259
83.663.997.650.146;-26.715.465.271.957
83.732.004.165.649;-26.998.318.420.509
83.800.001.144.409;-27.286.599.019.731
83.867.998.123.169;-27.580.474.459.031
83.936.004.638.672;-27.880.111.039.267
84.004.001.617.432;-28.185.732.554.316
84.071.998.596.191;-28.497.457.680.853
84.139.995.574.951;-28.815.525.408.977
84.208.002.090.454;-29.140.106.364.887
84.275.999.069.214;-29.471.405.542.590
84.343.996.047.974;-29.809.600.633.716
84.412.002.563.477;-30.154.925.763.373
84.479.999.542.236;-30.507.558.243.722
84.547.996.520.996;-30.867.725.070.889
84.616.003.036.499;-31.235.637.683.967
84.684.000.015.259;-31.611.506.260.942
84.751.996.994.019;-31.995.556.181.582
84.820.003.509.521;-32.388.026.783.011
84.888.000.488.281;-32.789.123.359.927
84.955.997.467.041;-33.199.093.259.267
85.024.003.982.544;-33.618.172.376.607
85.092.000.961.304;-34.046.606.539.856
85.159.997.940.063;-34.484.637.886.470
85.228.004.455.566;-34.932.516.697.667
85.296.001.434.326;-35.390.488.194.758
85.363.998.413.086;-35.858.819.053.609
85.431.995.391.846;-36.337.782.347.525
85.500.001.907.349;-36.827.642.471.034
85.567.998.886.108;-37.328.654.309.397
85.635.995.864.868;-37.841.108.223.181
85.704.002.380.371;-38.365.301.904.526
85.771.999.359.131;-38.901.499.509.440
85.839.996.337.891;-39.450.007.410.784
85.908.002.853.394;-40.011.125.502.747
85.975.999.832.153;-40.585.140.188.458
86.043.996.810.913;-41.172.391.593.083
86.112.003.326.416;-41.773.174.637.482
86.180.000.305.176;-42.387.838.303.798
86.247.997.283.936;-43.016.681.179.512
86.316.003.799.438;-43.660.083.089.799
86.384.000.778.198;-44.318.349.383.845
86.451.997.756.958;-44.991.865.287.468
86.520.004.272.461;-45.680.986.391.499
86.588.001.251.221;-46.386.070.341.297
86.655.998.229.980;-47.107.498.362.765
86.724.004.745.483;-47.845.687.729.368
86.792.001.724.243;-48.601.007.613.032
86.859.998.703.003;-49.373.884.544.225
86.927.995.681.763;-50.164.748.176.224
86.996.002.197.266;-50.974.017.028.372
87.063.999.176.025;-51.802.144.385.915
87.131.996.154.785;-52.649.592.592.156
87.200.002.670.288;-53.516.832.021.377
87.267.999.649.048;-54.404.357.871.337
87.335.996.627.808;-55.312.661.036.904
87.404.003.143.311;-56.242.259.075.094
87.472.000.122.070;-57.193.705.168.470
87.539.997.100.830;-58.167.546.236.610
87.608.003.616.333;-59.164.352.211.893
87.676.000.595.093;-60.184.730.627.188
87.743.997.573.853;-61.229.295.624.732
87.812.004.089.355;-62.298.664.372.497
87.880.001.068.115;-63.393.532.598.440
87.947.998.046.875;-64.514.570.460.725
88.016.004.562.378;-65.662.492.026.027
88.084.001.541.138;-66.838.057.374.884
88.151.998.519.897;-68.042.029.344.568
88.219.995.498.657;-69.275.225.889.258
88.288.002.014.160;-70.538.491.187.225
88.355.998.992.920;-71.832.683.741.044
88.423.995.971.680;-73.158.757.794.866
88.492.002.487.183;-74.517.643.471.645
88.559.999.465.942;-75.910.364.407.970
88.627.996.444.702;-77.337.971.234.312
88.696.002.960.205;-78.801.576.292.477
88.763.999.938.965;-80.302.323.995.350
88.831.996.917.725;-81.841.431.442.379
88.900.003.433.228;-83.420.184.274.851
88.968.000.411.987;-85.039.929.591.900
89.035.997.390.747;-86.702.059.162.863
89.104.003.906.250;-88.408.094.130.497
89.172.000.885.010;-90.159.594.296.483
89.239.997.863.770;-91.958.184.083.399
89.308.004.379.272;-93.805.647.629.733
89.376.001.358.032;-95.703.806.693.312
89.443.998.336.792;-97.654.649.171.977
89.511.995.315.552;-99.660.192.429.605
89.580.001.831.055;-10.172.263.202.179
89.647.998.809.814;-10.384.429.634.086
89.715.995.788.574;-10.602.758.863.457
89.784.002.304.077;-10.827.513.267.114
89.851.999.282.837;-11.058.964.013.613
89.919.996.261.597;-11.297.402.367.329
89.988.002.777.100;-11.543.134.485.454
90.055.999.755.859;-11.796.481.281.789
90.123.996.734.619;-12.057.785.938.438
90.192.003.250.122;-12.327.409.110.701
90.260.000.228.882;-12.605.725.387.482
90.327.997.207.642;-12.893.128.319.876
90.396.003.723.145;-13.190.031.339.391
90.464.000.701.904;-13.496.854.161.716
90.531.997.680.664;-13.814.032.342.070
90.600.004.196.167;-14.142.000.173.999
90.668.001.174.927;-14.481.189.943.531
90.735.998.153.687;-14.832.017.290.481
90.804.004.669.189;-15.194.857.966.397
90.872.001.647.949;-15.570.037.375.495
90.939.998.626.709;-15.957.777.368.976
91.007.995.605.469;-16.358.166.744.700
91.076.002.120.972;-16.771.091.108.898
91.143.999.099.731;-17.196.139.248.733
91.211.996.078.491;-17.632.498.829.533
91.280.002.593.994;-18.078.799.236.301
91.347.999.572.754;-18.532.911.196.089
91.415.996.551.514;-18.991.706.339.642
91.484.003.067.017;-19.450.758.595.836
91.552.000.045.776;-19.904.016.706.852
91.619.997.024.536;-20.343.498.750.874
91.688.003.540.039;-20.759.073.554.591
91.756.000.518.799;-21.138.482.391.839
91.823.997.497.559;-21.467.779.940.446
91.892.004.013.062;-21.732.344.415.910
91.960.000.991.821;-21.918.521.828.811
92.027.997.970.581;-22.015.657.617.467
92.096.004.486.084;-22.018.017.024.090
92.164.001.464.844;-21.925.945.524.264
92.231.998.443.604;-21.745.788.819.733
92.299.995.422.363;-21.488.631.243.272
92.368.001.937.866;-21.168.329.557.542
92.435.998.916.626;-20.799.492.977.475
92.503.995.895.386;-20.395.921.883.040
92.572.002.410.889;-19.969.650.272.028
92.639.999.389.648;-19.530.564.420.792
92.707.996.368.408;-19.086.421.619.396
92.776.002.883.911;-18.643.072.715.227
92.843.999.862.671;-18.204.781.933.297
92.911.996.841.431;-17.774.558.378.592
92.980.003.356.934;-17.354.425.874.142
93.048.000.335.693;-16.945.689.847.483
93.115.997.314.453;-16.549.107.170.494
93.184.003.829.956;-16.165.047.373.481
93.252.000.808.716;-15.793.596.275.760
93.319.997.787.476;-15.434.648.795.605
93.388.004.302.979;-15.087.961.696.217
93.456.001.281.738;-14.753.206.101.061
93.523.998.260.498;-14.429.994.758.774
93.591.995.239.258;-14.117.907.402.046
93.660.001.754.761;-13.816.510.024.145
93.727.998.733.521;-13.525.361.609.680
93.795.995.712.280;-13.244.030.211.624
93.864.002.227.783;-12.972.091.919.073
93.931.999.206.543;-12.709.133.849.573
93.999.996.185.303;-12.454.762.372.666
94.068.002.700.806;-12.208.598.232.918
94.135.999.679.565;-11.970.283.471.025
94.203.996.658.325;-11.739.475.483.143
94.272.003.173.828;-11.515.849.173.757
94.340.000.152.588;-11.299.100.132.226
94.407.997.131.348;-11.088.936.640.500
94.476.003.646.851;-10.885.082.867.612
94.544.000.625.610;-10.687.280.018.015
94.611.997.604.370;-10.495.282.740.837
94.680.004.119.873;-10.308.860.549.047
94.748.001.098.633;-10.127.791.692.026
94.815.998.077.393;-99.518.713.603.843
94.884.004.592.896;-97.808.987.275.116
94.952.001.571.655;-96.146.919.331.793
95.019.998.550.415;-94.530.707.822.235
95.087.995.529.175;-92.958.725.160.884
95.156.002.044.678;-91.429.336.439.077
95.223.999.023.438;-89.941.063.795.525
95.291.996.002.197;-88.492.466.901.579
95.360.002.517.700;-87.082.171.927.276
95.427.999.496.460;-85.708.885.696.944
95.495.996.475.220;-84.371.386.625.053
95.564.002.990.723;-83.068.471.888.456
95.631.999.969.482;-81.799.021.119.515
95.699.996.948.242;-80.561.977.449.589
95.768.003.463.745;-79.356.276.844.309
95.836.000.442.505;-78.180.963.232.523
95.903.997.421.265;-77.035.091.368.541
95.972.003.936.768;-75.917.748.571.002
96.040.000.915.527;-74.828.072.250.402
96.107.997.894.287;-73.765.216.555.371
96.176.004.409.790;-72.728.402.185.954
96.244.001.388.550;-71.716.868.755.817
96.311.998.367.310;-70.729.844.776.031
96.379.995.346.069;-69.766.649.577.430
96.448.001.861.572;-68.826.571.164.906
96.515.998.840.332;-67.908.971.783.194
96.583.995.819.092;-67.013.190.694.534
96.652.002.334.595;-66.138.626.463.762
96.719.999.313.354;-65.284.685.056.993
96.787.996.292.114;-64.450.771.741.677
96.856.002.807.617;-63.636.335.274.177
96.923.999.786.377;-62.840.855.581.770
96.991.996.765.137;-62.063.779.765.380
97.060.003.280.640;-61.304.614.004.316
